institute,quota,category,closing_rank,candidates_seen,state
GAJRA RAJA MEDICAL COLLEGE,AIQ,General,84131,10,Madhya Pradesh
GANDHI MEDICAL COLLEGE,AIQ,General,92870,11,Madhya Pradesh
GITAM Institue of Med. Sce. and Res.,AIQ,General,571747,6,Andhra Pradesh
GMC,AIQ,General,126801,22,Uttar Pradesh
GMC DAUSA RAJASTHAN,AIQ,General,91995,4,Rajasthan
GMC Jangaon,AIQ,General,151942,4,Telangana
GMC KARAULI,AIQ,General,104061,7,Rajasthan
GMC Kamareddy,AIQ,General,26296,4,Telangana
GMERS Medical College,AIQ,General,1037462,24,Gujarat
GOA MEDICAL COLLEGE,AIQ,General,101960,5,Goa
GOVERMENT MEDICAL COLLEGE NANDURBAR MAHARARASTRA,AIQ,General,114763,5,Maharashtra
GOVERNMENT MEDICAL COLLEGE,AIQ,General,1115020,83,Maharashtra
GOVERNMENT MEDICAL COLLEGE AND GENERAL HOSPITAL,AIQ,General,130363,4,Maharashtra
GOVERNMENT MEDICAL COLLEGE Karimnagar Telangana,AIQ,General,149808,7,Telangana
GOVERNMENT MEDICAL COLLEGE MACHILIPATNAM,AIQ,General,24868,2,
GOVERNMENT MEDICAL COLLEGE NANDYAL,AIQ,General,128615,7,
GOVERNMENT MEDICAL COLLEGE PURNEA,AIQ,General,136153,4,Bihar
GOVT MEDICAL COLLEGE,AIQ,General,1104692,5,Telangana
GOVT. DHARAMAPURI MED COLL,AIQ,General,27761,4,Tamil Nadu
GOVT. KILPAUK MEDICAL COLLEGE,AIQ,General,119660,5,Tamil Nadu
GOVT. MEDICAL COLLEGE,AIQ,General,153183,30,Maharashtra
GOVT. MOHAN KUMARAMANGALAM M.C.,AIQ,General,13573,1,Tamil Nadu
GOVT. VELLORE MEDICAL COLLEGE,AIQ,General,25925,6,Tamil Nadu
GOVT.MEDICAL COLLEGE,AIQ,General,115572,20,Rajasthan
GRANT MEDICAL COLL & SIR J.J.HOSP,AIQ,General,90836,9,Maharashtra
GTMC,AIQ,General,19584,3,Tamil Nadu
GUNTUR MEDICAL COLLEGE,AIQ,General,22094,4,Andhra Pradesh
GURU GOVIND SINGH MED COLL,AIQ,General,17173,8,Punjab
GUWAHATI MEDICAL COLLEGE,AIQ,General,88005,6,Assam
GVMC,AIQ,General,1098028,7,Tamil Nadu
Gadag Institute of Medical Sciences,AIQ,General,123145,8,Karnataka
Gandhi Medical College Musheerabad Secunderabad,AIQ,General,7253,4,Telangana
Gmc,AIQ,General,121735,8,
Goverment Medical College,AIQ,General,130821,26,Bihar
Goverment Medical College And Hospital Jalgaon,AIQ,General,23014,7,Maharashtra
Goverment Medical College Sheopur,AIQ,General,21070,3,
Government Doon Medcial College,AIQ,General,875148,6,Uttarakhand
Government Medcial College,AIQ,General,22001,8,Maharashtra
Government Medical College,AIQ,General,1114323,276,Telangana
Government Medical College & Hospital,AIQ,General,831158,2,Maharashtra
Government Medical College Chittorgarh,AIQ,General,76041,5,Rajasthan
Government Medical College Mahasamund Chhattisgarh,AIQ,General,145338,4,Chhattisgarh
Government Medical College Nirmal,AIQ,General,28202,1,Telangana
Government Medical College Satna,AIQ,General,121022,8,Madhya Pradesh
Government Medical College Siddipet,AIQ,General,143103,5,Telangana
Government Medical College Suryapet,AIQ,General,123668,4,Telangana
Government Medical College and District General Hospital,AIQ,General,123553,4,Maharashtra
Government Medical College and ESIC Hospital,AIQ,General,525616,6,Tamil Nadu
Government Medical College and Hospital,AIQ,General,115037,4,Odisha
Government Medical college,AIQ,General,122699,6,Maharashtra
Government medical College,AIQ,General,18921,2,Tamil Nadu
Govt Medical College,AIQ,General,154537,31,Kerala
Govt Medical College Badaun,AIQ,General,100028,4,
Govt Medical College Baramati,AIQ,General,120996,2,Maharashtra
Govt Medical College Barmer Rajasthan,AIQ,General,100855,13,Rajasthan
Govt Medical College Basti,AIQ,General,116051,9,Uttar Pradesh
Govt Medical College Faizabad,AIQ,General,107947,6,Uttar Pradesh
Govt Medical College Firozabad,AIQ,General,112116,6,Uttar Pradesh
Govt Medical College Kannur,AIQ,General,137232,4,Kerala
Govt Medical College Nalgonda,AIQ,General,121043,4,Telangana
Govt Medical College Ratlam,AIQ,General,91920,3,Madhya Pradesh
Govt Medical College Shahdol,AIQ,General,110702,8,Madhya Pradesh
Govt Medical College Vikarabad,AIQ,General,28771,2,Telangana
Govt Medical college Shivpuri,AIQ,General,111337,8,Madhya Pradesh
Govt institute of Medcial Sciences,AIQ,General,9270,4,Uttar Pradesh
Govt. Medical College,AIQ,General,946638,37,Uttar Pradesh
