sno,state,code,name,mgmt,renewed,increased,total
643,Maharashtra,MH/069/G/1,"Rajashree Chatrapati Shahu Maharaj Government Medical College, Kolhapur",Government,150,0,150
644,Jharkhand,JH/008/G/1,"Rajendra Institute of Medical Sciences, Ranchi",Government,180,70,250
645,Telangana,TS/061/G/1,"Rajiv Gandhi Institute of Medical Sciences, adilabad",Government,120,30,150
646,Andhra Pradesh,AP/032/G/1,"Rajiv Gandhi Institute of Medical Sciences, Srikakulam",Government,200,0,200
647,Maharashtra,MH/070/G/1,"Rajiv Gandhi Medical College and Chhatrapati Shivaji Maharaj Hospital, Thane",Government,100,0,100
648,Uttar Pradesh,UP/063/G/1,"Rajkiya Allopathic Medical College, Bahraich, UP",Government,100,0,100
649,Uttar Pradesh,UP/064/G/1,"Rajkiya Medical College Jalaun, Orai, Uttar Pradesh",Government,100,0,100
650,Chhattisgarh,CG/005/G/1,"Rajmata Shrimata Devendra Kumari Singhdeo Government Medical College, Ambikapur (Surguja), Chhattisgarh",Government,125,0,125
651,Uttar Pradesh,UP/065/P/3,"Rajshree Medical Research Institute, Bareilly",Private,250,0,250
652,Madhya Pradesh,MP/026/P/4,"Ram Krishna College Hospital & Research Centre, Bhopal",Private,150,100,250
653,Uttar Pradesh,UP/066/P/4,"Rama Medical College Hospital & Research Centre, Kanpur",Private,150,100,250
654,Uttar Pradesh,UP/067/P/4,"Rama Medical College Hospital and Research Centre, Hapur",Private,250,0,250
655,West Bengal,WB/034/G/1,"Rampurhat Government Medical College & Hospital, Rampurhat",Government,150,0,150
656,Andhra Pradesh,AP/033/G/1,"Rangaraya Medical College, Kakinada",Government,250,0,250
657,West Bengal,WB/035/P/3,RANIGANJ INSTITUTE OF MEDICAL SCIENCE,Private,100,100,200
658,Manipur,MN/003/G/1,"Regional Institute of Medical Sciences, Imphal",Government,125,25,150
659,West Bengal,WB/036/G/1,"RG Kar Medical College, Kolkata",Government,250,0,250
660,Punjab,PB/011/P/3,RIMT Medical College and Hospital,Private,50,50,100
661,Madhya Pradesh,MP/027/P/4,"RKDF Medical College Hospital & Research Centre, Jatkhedi, Bhopal",Private,150,0,150
662,Uttar Pradesh,UP/068/P/3,"Rohilkhand Medical College & Hospital, Bareilly",Private,250,0,250
663,Rajasthan,RJ/042/G/1,"RUHS College of Medical Sciences, Jaipur",Government,150,0,150
664,Maharashtra,MH/072/P/3,"Rural Medical College, Loni",Private,200,0,200
665,Madhya Pradesh,MP/028/P/3,"Ruxmaniben Deepchand Gardi Medical College, Ujjain",Private,150,0,150
666,Andhra Pradesh,New Establishment,RVS INSTITUTE OF MEDICAL SCIENCES,Private,0,50,50
667,Uttar Pradesh,UP/069/G/1,"S N Medical College, Agra",Government,200,0,200
668,Karnataka,KA/050/P/3,"S S Institute of Medical Sciences& Research Centre, Davangere",Private,200,50,250
669,Andhra Pradesh,AP/034/G/1,"S V Medical College, Tirupati",Government,240,0,240
670,Telangana,TS/062/P/4,"S V S Medical College, Mehboobnagar",Private,150,50,200
671,Karnataka,KA/051/P/3,"S. Nijalingappa Medical College & HSK Hospital & Research Centre, Bagalkot",Private,250,0,250
672,Odisha,OD/016/G/1,"Saheed Laxman Nayak Medical College & Hospital, Koraput",Government,125,0,125
673,Odisha,OD/004/G/1,"Saheed Rendo Majhi Medical College and Hospital, Bhawanipatna, Kalahandi, Odisha (erstwhile Government Medical College, Bhawanipatna)",Government,100,0,100
674,Gujarat,GJ/036/P/3,"SAL Institute of Medical Sciences, Ahmedabad",Private,150,0,150
675,HARYANA,New Establishment,Sanskaram School of Medical Sciences,Private,0,100,100
676,Andhra Pradesh,AP/035/P/4,"Santhiram Medical College, Nandyal",Private,250,0,250
677,West Bengal,WB/037/P/3,"Santiniketan Medical College, Bolpur, West Bengal",Private,150,0,150
678,Uttar Pradesh,UP/070/P/3,"Santosh Medical College, Ghaziabad",Private,150,0,150
679,Karnataka,KA/052/P/3,"Sapthagiri Institute of Medical Sciences & Research Centre, Bangalore",Private,250,0,250
