Karnataka|A J Institute of Medical Sciences & Research Centre, Mangalore|250|Private
Puducherry|Aarupadai Veedu Medical College, Pondicherry|150|Private
Chhattisgarh|Abhishek Mishra Memorial Medical College & RC Bhiali Distt. Durg CG|200|Private
Jammu and Kashmir|Acharya Shri Chander College of Medical Sciences, Jammu|150|Private
Maharashtra|ACPM Medical College, Dhule|100|Private
Tamil Nadu|ACS Medical College and Hospital, Chennai|250|Private
Andhra Pradesh|ACSR Government Medical College|200|Government
Punjab|Adesh Institute of Medical Sciences & Research, Bhatinda|150|Private
Haryana|Adesh Medical College and Hospital, Shahabad, Kurukshetra, Haryana|250|Private
Karnataka|Adichunchanagiri Institute of Medical Sciences, Bellur|250|Private
Tripura|Agartala Government Medical College,Agartala|200|Government
Uttar Pradesh|Ajay Sangaal Institute of Medical Sciences and Ayushman Hospital Shamli (UP)|250|Private
Karnataka|Akash Institute of Medical Sciences & Research Centre, Devanhalli, Bangalore, Karnataka|250|Private
Haryana|Al Falah School of Medical Sciences & Research Centre, Faridabad|200|Private
Karnataka|Al-Ameen Medical College, Bijapur|150|Private
Kerala|Al-Azhar Medical College and Super Speciality Hospital, Thodupuzha|250|Private
Andhra Pradesh|Alluri Sitaram Raju Academy of Medical Sciences, Eluru|250|Private
Karnataka|ALVA'S INSTITUTE OF MEDICAL SCIENCES AND RESEARCH CENTRE|150|Private
Kerala|Amala Institute of Medical Sciences, Thrissur|100|Private
Madhya Pradesh|Amaltas Institute of Medical Sciences, Dewas|250|Private
Rajasthan|American International Institute of Medical Sciences, Bedwas|150|Private
Haryana|Amrita School of Medicine|150|Private
Kerala|Amrita School of Medicine, Elamkara, Kochi|149|Private
Rajasthan|Ananta Institute of Medical Sciences & Research Centre, Rajsamand|200|Private
Gujarat|Ananya College of Medicine & Research, Kalol|150|Private
Andaman & Nicobar|Andaman & Nicobar Islands Institute of Medical Sciences, Port Blair|114|Government
Andhra Pradesh|Andhra Medical College, Visakhapatnam|250|Government
Andhra Pradesh|Anna Gowri Medical College and Hospital|150|Private
Tamil Nadu|Annapoorna Medical College & Hospital, Salem|150|Private
Bihar|Anugrah Narayan Magadh Medical College, Gaya|120|Government
Andhra Pradesh|Apollo Institute of Medical Sciences and Research, Chittoor|150|Private
Telangana|Apollo Institute of Medical Sciences and Research, Hyderabad|150|Private
Tamil Nadu|APS MEDICAL COLLEGE HOSPITAL AND RESEARCH INSTITUTE|150|Private
Maharashtra|Armed Forces Medical College, Pune|150|Government
Delhi|Army College of Medical Sciences, New Delhi|100|Private
Tamil Nadu|Arunai Medical College And Hospital|200|Private
Telangana|Arundathi Institute of Medical Sciences, Medchal|150|Private
Rajasthan|Arya Medical College and Hospital|150|Private
Maharashtra|Ashwini Rural Medical College, Hospital & Research Centre, Solapur|150|Private
Assam|Assam Medial College, Dibrugarh|250|Government
Delhi|Atal Bihari Vajpayee Institute of Medical Sciences and Dr. RML Hospital, New Delhi|100|Government
Uttar Pradesh|Autonomous state medical college Amethi|100|Government
Uttar Pradesh|Autonomous State Medical College and Hospital Gonda|100|Government
Uttar Pradesh|Autonomous State Medical College and Hospital Kaushambi|100|Government
Uttar Pradesh|Autonomous State Medical College and Hospital Lakhimpuri kheri|100|Government
Uttar Pradesh|Autonomous State Medical College Kushinagar|100|Government
Uttar Pradesh|Autonomous State Medical College Lalitpur|100|Government
Uttar Pradesh|Autonomous State Medical College Pilibhit|100|Government
Uttar Pradesh|Autonomous State Medical College Pratapgarh|100|Government
Uttar Pradesh|Autonomous State Medical College Society Ghazipur|100|Government
Uttar Pradesh|Autonomous State Medical College Society, Etah, Uttar Pradesh|100|Government
Uttar Pradesh|Autonomous State Medical College Society, Fatehpur|100|Government
Uttar Pradesh|Autonomous State Medical College Society, Hardoi|100|Government
Uttar Pradesh|Autonomous State Medical College Sultanpur|100|Government
Uttar Pradesh|Autonomous State Medical College, Akbarpur, Kanpur|100|Government
Uttar Pradesh|Autonomous State Medical College, Siddharthnagar|100|Government
Uttar Pradesh|Autonomous State Medical College, Sonebhadra|100|Government
Uttar Pradesh|Autonomous State Society Medical College Mirzapur|100|Government
Telangana|Ayaan Institute of Medical Sciences, Teaching Hospital & Research Centre, Kanaka Mamidi, R.R. Dist|150|Private
Kerala|Azeezia Instt of Medical Science,Meeyannoor, Kollam|150|Private
Gujarat|B J Medical College, Ahmedabad|250|Government
Maharashtra|B. J. Govt. Medical College, Pune|250|Government
Maharashtra|B.K.L. Walawalkar Rural Medical College, Ratnagiri|150|Private
Maharashtra|B.S.P. Medical College and Hospital|150|Private
Uttar Pradesh|Baba Kina Ram Autonomous State Medical College and Hospital Chandauli|100|Government
Rajasthan|Balvir Singh Tomar Institute of Medical Sciences and Research|250|Private
Gujarat|Banas Medical College and Research Institute, Palanpur, Gujarat|200|Private
Karnataka|Bangalore Medical College and Research Institute, Bangalore|250|Government
West Bengal|Bankura Sammilani Medical College, Bankura|200|Government
West Bengal|Barasat Government Medical College & Hospital|100|Government
Karnataka|Basaveswara Medical College and Hospital, Chitradurga|150|Private
Karnataka|Belagavi Institute of Medical Sciences, Belagavi|200|Government
Kerala|Believers Church Medical College Hospital, Thiruvalla, Kerala|100|Private
Karnataka|BGS Global Institute of Medical Sciences, Bangalore|250|Private
Karnataka|BGS Medical College and Hospital Bengaluru, Karnataka|250|Private
Tamil Nadu|Bhaarat Medical College & Hospital|250|Private
Bihar|Bhagwan Mahavir Institute of Medical Sciences, Pawapuri (formerly Vardhman Institute of Medical Sciences, Pawapuri, Nalanda)|120|Government
Gujarat|Bhagyoday Medical College|100|Private
Rajasthan|BHARAT VIKAS INSTITUTE OF MEDICAL SCIENCES|150|Private
Maharashtra|Bharati Vidyapeeth Deemed University Medical College & Hospital, Sangli|250|Private
Maharashtra|Bharati Vidyapeeth University Medical College, Pune|250|Private
Maharashtra|Bharatratna Atal Bihari Vajpayee Medical College, Pune|100|Private
Telangana|Bhaskar Medical College, Yenkapally|200|Private
Karnataka|Bidar Institute of Medical Sciences, Bidar|200|Government
Haryana|BPS Government Medical College for Women, Sonepat|120|Government
Uttar Pradesh|BRD Medical College, Gorakhpur|150|Government
Bihar|Buddha Hospital and Research Institute|100|Private
Madhya Pradesh|Bundelkhand Medical College, Sagar|150|Government
West Bengal|Burdwan Medical College, Burdwan|200|Government
West Bengal|Calcutta National Medical College, Kolkata|250|Government
Uttar Pradesh|Career Instt. Of Medical Sciences & Hospital, Lucknow|150|Private
Telangana|Chalmeda Anand Rao Institute Of Medical Sciences, Karimnagar|200|Private
Karnataka|Chamrajanagar Institute of Medical Sciences, Karnataka|150|Government
Chhattisgarh|Chandulal Chandrakar Memorial Medical College, Durg|200|Government
Tamil Nadu|Chengalpattu Medical College, Chengalpattu|100|Government
Tamil Nadu|Chettinad Hospital & Research Institute, Kanchipuram|250|Private
Karnataka|Chettinad Institute of Medical Education and Research|100|Private
Chhattisgarh|Chhattisgarh Institute of Medical Sciences, Bilaspur|150|Government
Karnataka|Chikkamagaluru Institute of Medical Sciences, Chikkamagaluru|150|Government
Madhya Pradesh|Chirayu Medical College and Hospital, Bairagarh, Bhopal|250|Private
Karnataka|Chitradurga Medical College and Research Institute|150|Government
Punjab|Christian Medical College, Ludhiana|100|Private
Tamil Nadu|Christian Medical College, Vellore|100|Private
Telangana|CMR Institute of Medical Science|250|Private
Tamil Nadu|Coimbatore Medical College, Coimbatore|200|Government
West Bengal|College of Medicine and JNM Hospital, Kalyani, Nadia|150|Government
West Bengal|College of Medicine and Sagore Dutta Hospital, Kolkata|150|Government
West Bengal|Coochbehar Government Medical College & Hospital, Coochbehar, WB|150|Government
Gujarat|CU Shah Medical College, Surendra Nagar|150|Private
Bihar|Darbhanga Medical College, Lehriasarai|150|Government
Maharashtra|Datta Meghe Medical College, Nagpur|250|Private
Punjab|Dayanand Medical College & Hospital, Ludhiana|150|Private
Telangana|Deccan College of Medical Sciences|150|Private
Tamil Nadu|Dhanalakshmi Srinivasan Institute of Medical Sciences and Hospital - Thuraiyur Road, Perambalur|200|Private
Tamil Nadu|Dhanalakshmi Srinivasan Medical College and Hospital, Perambalur|250|Private
Odisha|Dharanidhar Medical College and Hospital (previously Government Medical College, Keonjhar)|100|Government
Assam|Dhubri Medical College, Dhubri|100|Government
West Bengal|Diamond Harbour Government Medical College and Hospital, West Bengal|150|Government
Assam|Diphu Medical College & Hospital, Diphu, Assam|100|Government
Uttarakhand|Doon Medical College, Dehradun, Uttarakhand|150|Government
Punjab|Dr B R Ambedkar State Institute of Medical Sciences, SAS Nagar , Mohali|100|Government
Karnataka|Dr BR Ambedkar Medical College, Bangalore|150|Private
Rajasthan|Dr S S Tantia Medical College Hospital & Research Centre|250|Private
Rajasthan|Dr SN Medical College, Jodhpur|250|Government
Maharashtra|Dr Vaishampayan Memorial Medical College, Solapur|200|Government
Rajasthan|Dr. B. S. Tomar Institute of Medical Sciences and Research|150|Private
Uttar Pradesh|Dr. B.S. Kushwah Medical College, Kanpur|150|Private
Delhi|Dr. Baba Saheb Ambedkar Medical College, Rohini, Delhi|125|Government
Uttar Pradesh|Dr. Bhimrao Ramji Ambedkar Government Medical College, Kannauj ,Uttar Pradesh|100|Government
Karnataka|Dr. Chandramma Dayananda Sagar Instt. of Medical Education & Research, Harohalli, Hubli|200|Private
Maharashtra|Dr. D Y Patil Medical College, Hospital and Research Centre, Pimpri, Pune|250|Private
Maharashtra|Dr. D Y Patil Medical College, Kolhapur|200|Private
Gujarat|Dr. Kiran C.Patel Medical College and Research Institute|200|Private
Uttar Pradesh|Dr. KNS Memorial Institute of Medical Sciences ( Formerly Known as Mayo Institute of Medical Sciences), Lucknow-Ayodhya Road|250|Private
Madhya Pradesh|Dr. Laxminarayan Pandey Government Medical College, Ratlam (M.P.)|200|Government
Gujarat|Dr. M.K. Shah Medical College & Research Centre, Ahmedabad|250|Private
Kerala|Dr. Moopen Medical College Wayanad, Kerala|250|Private
Maharashtra|Dr. N Y Tasgaonkar Institute of Medical Science|100|Private
Gujarat|Dr. N.D. Desai Faculty of Medical Science and Research, Nadiad|200|Private
Andhra Pradesh|Dr. P.S.I. Medical College , Chinoutpalli|150|Private
Maharashtra|Dr. Panjabrao Alias Bhausaheb Deshmukh Memorial Medical College, Amravati|150|Private
Telangana|Dr. Patnam Mahender Reddy Institute of Medical Sciences, Chevella, Rangareddy|200|Private
Himachal Pradesh|Dr. Radhakrishnan Government Medical College, Hamirpur, H.P|120|Government
Himachal Pradesh|Dr. Rajendar Prasad Government Medical College, Tanda, H.P|120|Government
Maharashtra|Dr. Rajendra Gode Medical College, Amravati|150|Private
Uttar Pradesh|Dr. Ram Manohar Lohia Institute of Medical Sciences,Lucknow|200|Government
Maharashtra|Dr. Shankarrao Chavan Govt. Medical College, Nanded|150|Government
Kerala|Dr. Somervel Memorial CSI Hospital & Medical College, Karakonam, Thiruvananthapuram|200|Private
Maharashtra|Dr. Ulhas Patil Medical College & Hospital, Jalgaon|200|Private
Maharashtra|Dr. Vasantrao Pawar Med. Col. Hosp. & Research Centre, Nasik (Prev. NDMVP Samaj Medical College)|150|Private
Maharashtra|Dr. Vithalrao Vikhe Patil Foundations Medical College & Hospital, Ahmednagar|200|Private
Telangana|Dr. VRK Womens Medical College, Aziznagar|100|Private
Odisha|DRIEMS Institute of Health Sciences and Hospital, Kairapari|100|Private
Jharkhand|Dumka Medical College, Dighi Dumka|100|Government
Maharashtra|DY Patil University, School of Medicine|100|Private
Karnataka|East Point College of Medical Sciences & Research Centre, Bangalore|250|Private
West Bengal|East West Institute of Medical Sciences and Research, Burdwan|100|Private
Telangana|Employees State Insurance Coporation Medical College, Sanath Nagar, Hyderabad|150|Government
Karnataka|Employees State Insurance Corporation Medical College, Bangalore|150|Government
Haryana|Employees State Insurance Corporation Medical College, Faridabad|150|Government
Karnataka|Employees State Insurance Corporation Medical College, Gulbarga|150|Government
West Bengal|Employees State Insurance Corporation Medical College, Joka, Kolkata|150|Government
Bihar|Employees State Insurance Corporation Medical College, Patna|100|Government
Rajasthan|Employees State Insurance Corporation Medical College,Alwar|100|Government
Uttar Pradesh|Era Lucknow Medical College , Lucknow|250|Private
Delhi|ESIC Medical College & Hospital, Basaidarapur, New Delhi|50|Government
Tamil Nadu|ESIC Medical College & PGIMSR, K.K Nagar, Chennai|149|Government
Maharashtra|ESIC MEDICAL COLLEGE AND HOSPITAL, ANDHERI|50|Government
Assam|ESIC Medical College and Hospital, Beltola|50|Government
Rajasthan|ESIC MEDICAL COLLEGE AND HOSPITAL, JAIPUR|50|Government
Uttar Pradesh|ESIC MEDICAL COLLEGE AND HOSPITAL, NOIDA|50|Government
Uttar Pradesh|ESIC Medical College and Hospital, VARANASI|50|Government
Madhya Pradesh|ESIC MEDICAL COLLEGE AND HOSPITAL,INDORE|50|Government
Punjab|ESIC Medical College Ludhiana|50|Government
Gujarat|ESIC MEDICAL COLLEGE NARODA BAPUNAGAR, AHMEDABAD|50|Government
Uttar Pradesh|F.H. Medical College & Hospital, Etamdapur, Agra|250|Private
Tamil Nadu|Faculty of Medicine , Sri Lalithambigai Medical College and Hospital|250|Private
Haryana|Faculty of Medicine and Health Sciences, Gurgaon (Formarly SGGST Medical College & R Centre,Gurgaon)|200|Private
Assam|Fakhruddin Ali Ahmed Medical College, Barpeta, Assam|125|Government
Karnataka|FAROOKH ACADEMY OF MEDICAL EDUCATION HOSPITAL AND RESEARCH INSTITUTE|150|Private
Telangana|Father Colombo Institute of Medical Sciences, Warangal|150|Private
Karnataka|Father Mullers Medical College, Mangalore|150|Private
Andhra Pradesh|Fathima Instt. of Medical Sciences, Kadapa|100|Private
Uttar Pradesh|FULAN SINGH MEDICAL COLLEGE, FS UNIVERSITY|100|Private
Karnataka|G R Medical College Hospital & Research Centre|150|Private
Uttar Pradesh|G.S. Medical College & Hospital, Hapur, UP|250|Private
Madhya Pradesh|Gajra Raja Medical College, Gwalior|250|Government
Madhya Pradesh|Gandhi Medical College, Bhopal|250|Government
Telangana|Gandhi Medical College, Secunderabad|250|Government
Assam|Gauhati Medical College, Guwahati|250|Government
Uttarakhand|Gautam Buddha Chikitsa Mahavidyalaya, Dehradum|150|Private
Andhra Pradesh|Gayathri Vidya Parishad Institute of Health Care & Medical Technology, Visakhapatnam|200|Private
Gujarat|GCS Medical College, Ahmedabad|200|Private
Rajasthan|GEETANJALI INSTITUTE OF MEDICAL SCIENCES|250|Private
Rajasthan|Geetanjali Medical College & Hospital,Udaipur|250|Private
Punjab|Gian Sagar Medical College & Hospital, Patiala|150|Private
Andhra Pradesh|GITAM Institute of Medical Sciences and Research, Visakhapatnam|150|Private
Gujarat|GMERS Medical College, Dharpur Patan|200|Government
Gujarat|GMERS Medical College, Gandhinagar|200|Government
Gujarat|GMERS Medical College, Gotri, Vadodara|200|Government
Gujarat|GMERS Medical College, Hadiyol, Himmatnagar|200|Government
Gujarat|GMERS Medical College, Junagadh|200|Government
Gujarat|GMERS Medical College, Navsari|100|Government
Gujarat|GMERS Medical College, Rajpipla|100|Government
Gujarat|GMERS Medical College, Sola, Ahmedabad|200|Government
Gujarat|GMERS Medical College, Vadnagar, Mehsana|200|Government
Gujarat|GMERS Medical College, Valsad|200|Government
Goa|Goa Medical College, Panaji|250|Government
West Bengal|Gouri Devi Institute of Medical Sciences and Hospital, Durgapur|200|Private
Madhya Pradesh|GOVERMENT MEDICAL COLLEGE, SHEOPUR|100|Government
Uttar Pradesh|Government Allopathic Medical College, Banda, UP|100|Government
Tamil Nadu|Government Dharmapuri Medical College, Dharmapuri|100|Government
Tamil Nadu|Government Erode Medical College & Hospital, Perundurai (Formerly IRT Perundurai Medical College)|100|Government
Uttar Pradesh|Government Institute of Medical Sciences, Kasna, Greater Noida|100|Government
Chhattisgarh|Government Medical College (Bharat Ratna Shri Atal Bihari Vajpyee Memorial Med. Col.), Rajnandgaon|125|Government
Kerala|Government Medical College (Institute of Integrated Medical Sciences), Yakkara, Palakkad|100|Government
Uttarakhand|Government Medical College (Prev.Uttarakhand Forest Hospital Trust Med.Col.), Haldwani|125|Government
Tamil Nadu|Government Medical College & ESIC Hospital, Coimbatore, Tamil Nadu.|100|Government
Odisha|Government Medical College & Hospital (Renamed as Bhima Bhoi Medical College & Hospital), Balangir|100|Government
Odisha|Government Medical College & Hospital (Renamed as Fakir Mohan Medical College & Hospital), Balasore|100|Government
